ticker,name,signal_date,quarter,market_regime,direction,chg_pct,close,trade_amount,avg_trade_amount,amount_tag,flow_category,foreign_5d,institution_5d,individual_5d,dart_tag,disclosure_count,disclosure_names,window_category,investor_error,dart_error,status,error,is_candidate,no_match_reason,hypothesis_id,priority,use_type,suggested_response,preferred_entry_mode,preferred_hold_days,backtest_avg_score_pct,backtest_hit_rate,risk_note,match_quality,required_flow_category
001440,대한전선,2026-06-24,2026_Q2,변동성 장세,down,-1.5850144092218965,34150.0,85109270400.0,443793954860.0877,거래대금약함,수급엇갈림,1715718.0,-702296.0,-971160.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
043260,성호전자,2026-06-24,2026_Q2,변동성 장세,down,-4.299363057324845,30050.0,74748318300.0,131455184086.8421,거래대금약함,수급엇갈림,1211248.0,-92776.0,-1127351.0,DART공시동반,1,2026-06-24 최대주주변경을수반하는주식담보제공계약체결              ,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
028050,삼성E&A,2026-06-24,2026_Q2,변동성 장세,down,-2.006688963210701,43950.0,77024058000.0,180039955092.66666,거래대금약함,외국인기관동반매수,560545.0,296502.0,-831152.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
204320,HL만도,2026-06-24,2026_Q2,변동성 장세,up,3.1408308004052587,50900.0,42680092800.0,53874203057.89474,거래대금약함,외국인기관동반매도,-272268.0,-504675.0,747410.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
439960,코스모로보틱스,2026-06-24,2026_Q2,변동성 장세,up,4.198895027624316,18860.0,30355491000.0,363404935280.4839,거래대금약함,수급엇갈림,309315.0,-353975.0,43498.0,주변공시부재,0,,직접반응,,KeyError('439960'),ok,,False,strategy_condition_not_matched,,,,,,,,,,,
000720,현대건설,2026-06-24,2026_Q2,변동성 장세,down,-0.3475238922675983,114700.0,105865921050.0,194932282826.3509,거래대금약함,수급엇갈림,504359.0,-108986.0,-396475.0,DART공시동반,1,2026-06-23 단일판매ㆍ공급계약체결              ,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
009540,HD한국조선해양,2026-06-24,2026_Q2,변동성 장세,up,0.9602194787379892,368000.0,108299701250.0,107900885363.63158,거래대금평균상회,수급엇갈림,64944.0,-63582.0,-1418.0,DART공시동반,2,2026-06-23 풍문또는보도에대한해명(미확정)               / 2026-06-23 중대재해발생(자회사의 주요경영사항)              ,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
272210,한화시스템,2026-06-24,2026_Q2,변동성 장세,up,0.8547008547008517,82600.0,44508228850.0,116131793584.21053,거래대금약함,수급엇갈림,373552.0,-287396.0,-86753.0,DART공시동반,4,2026-06-24 특수관계인으로부터부동산매수 / 2026-06-24 유형자산취득결정               / 2026-06-24 특수관계인으로부터받은담보,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
085620,미래에셋생명,2026-06-24,2026_Q2,변동성 장세,up,1.122448979591839,19820.0,17072845385.0,30882018906.31579,거래대금약함,외국인기관동반매수,673032.0,52669.0,-732056.0,DART공시동반,2,2026-06-19 풍문또는보도에대한해명               / 2026-06-19 임원ㆍ주요주주특정증권등소유상황보고서,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
375500,DL이앤씨,2026-06-24,2026_Q2,변동성 장세,up,4.737732656514382,61900.0,33817784250.0,105442885110.52632,거래대금약함,수급엇갈림,499521.0,-249351.0,-247949.0,DART공시동반,2,2026-06-24 [기재정정]단일판매ㆍ공급계약체결               / 2026-06-22 벌금등의부과              ,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
