signal_date,pattern_id,pattern_name,category,prediction_direction,confidence,basis,open,high,low,close,volume,trade_amount,ticker,name
2026-01-30,reversal_shooting_star,유성형,추세 반전형,down,70,상승 흐름 뒤 긴 위꼬리,160100.0,166500.0,160100.0,160500.0,40557267.0,6593450199492.0,005930,삼성전자
2026-01-30,single_gravestone_doji,비석형 도지,단일 캔들 패턴,down,70,긴 위꼬리 도지,160100.0,166500.0,160100.0,160500.0,40557267.0,6593450199492.0,005930,삼성전자
2026-01-30,bullish_counterattack,상승 반격형,추세 반전형,up,65,하락 후 반대 양봉이 전일 종가 부근 회복,160100.0,166500.0,160100.0,160500.0,40557267.0,6593450199492.0,005930,삼성전자
2026-01-30,bullish_separating_line,상승 갈림길형,추세 지속형,up,65,같은 시가 부근에서 양봉 전환,160100.0,166500.0,160100.0,160500.0,40557267.0,6593450199492.0,005930,삼성전자
2026-01-30,single_doji,도지,단일 캔들 패턴,neutral,65,시가와 종가가 거의 같은 균형 캔들,160100.0,166500.0,160100.0,160500.0,40557267.0,6593450199492.0,005930,삼성전자
2026-02-02,falling_window,폴링 윈도우,추세 지속형,down,70,전일 저가 아래로 하락 갭 형성,155700.0,159600.0,150400.0,150400.0,39748369.0,6135993983450.0,005930,삼성전자
2026-02-03,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,157900.0,167500.0,157200.0,167500.0,36529813.0,5927187709457.0,005930,삼성전자
2026-02-03,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,157900.0,167500.0,157200.0,167500.0,36529813.0,5927187709457.0,005930,삼성전자
2026-02-04,three_outside_up,쓰리 아웃사이드 업,추세 반전형,up,82,상승 장악형 뒤 추가 상승 확인,163500.0,169400.0,163100.0,169100.0,29943042.0,4988144010160.0,005930,삼성전자
2026-02-04,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,163500.0,169400.0,163100.0,169100.0,29943042.0,4988144010160.0,005930,삼성전자
2026-02-05,bearish_three_line_strike,약세 삼선 반격형,추세 지속형,down,80,3개 음봉 뒤 긴 양봉 반격이 나와도 하락 지속으로 분류,162000.0,164000.0,158500.0,159300.0,38435228.0,6197185062736.0,005930,삼성전자
2026-02-06,bullish_separating_line,상승 갈림길형,추세 지속형,up,65,같은 시가 부근에서 양봉 전환,154100.0,160300.0,151600.0,158600.0,36358081.0,5664674804196.0,005930,삼성전자
2026-02-06,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,154100.0,160300.0,151600.0,158600.0,36358081.0,5664674804196.0,005930,삼성전자
2026-02-09,bearish_kicker,하락 키커,추세 반전형,down,80,장대 양봉 뒤 하락 갭 장대 음봉,168600.0,168700.0,165000.0,166400.0,25098971.0,4192595399422.0,005930,삼성전자
2026-02-09,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,168600.0,168700.0,165000.0,166400.0,25098971.0,4192595399422.0,005930,삼성전자
2026-02-09,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,168600.0,168700.0,165000.0,166400.0,25098971.0,4192595399422.0,005930,삼성전자
2026-02-11,three_inside_up,쓰리 인사이드 업,추세 반전형,up,82,상승 잉태형 뒤 확인 양봉,164000.0,168600.0,162000.0,167800.0,22760242.0,3780778982422.0,005930,삼성전자
2026-02-11,bullish_engulfing,상승 장악형,추세 반전형,up,80,음봉 몸통을 다음 양봉이 감쌈,164000.0,168600.0,162000.0,167800.0,22760242.0,3780778982422.0,005930,삼성전자
2026-02-11,bullish_three_line_strike,강세 삼선 반격형,추세 지속형,up,80,3개 양봉 뒤 긴 음봉 반격이 나와도 상승 지속으로 분류,164000.0,168600.0,162000.0,167800.0,22760242.0,3780778982422.0,005930,삼성전자
2026-02-11,mat_hold,매트 홀드,추세 지속형,up,78,상승 갭 뒤 짧은 조정 후 재상승,164000.0,168600.0,162000.0,167800.0,22760242.0,3780778982422.0,005930,삼성전자
2026-02-11,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,164000.0,168600.0,162000.0,167800.0,22760242.0,3780778982422.0,005930,삼성전자
2026-02-12,three_outside_up,쓰리 아웃사이드 업,추세 반전형,up,82,상승 장악형 뒤 추가 상승 확인,171200.0,179600.0,170100.0,178600.0,41296011.0,7278300418200.0,005930,삼성전자
2026-02-12,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,171200.0,179600.0,170100.0,178600.0,41296011.0,7278300418200.0,005930,삼성전자
2026-02-12,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,171200.0,179600.0,170100.0,178600.0,41296011.0,7278300418200.0,005930,삼성전자
2026-02-13,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,179500.0,184400.0,178900.0,181200.0,34454192.0,6257951155967.0,005930,삼성전자
2026-02-19,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,188000.0,190900.0,187100.0,190000.0,27049388.0,5113213353551.0,005930,삼성전자
2026-02-19,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,188000.0,190900.0,187100.0,190000.0,27049388.0,5113213353551.0,005930,삼성전자
2026-02-20,single_cross_doji,십자형,단일 캔들 패턴,neutral,70,위아래 꼬리가 있는 십자형 도지,190000.0,190300.0,188600.0,190100.0,24213880.0,4591033033030.0,005930,삼성전자
2026-02-20,single_doji,도지,단일 캔들 패턴,neutral,65,시가와 종가가 거의 같은 균형 캔들,190000.0,190300.0,188600.0,190100.0,24213880.0,4591033033030.0,005930,삼성전자
2026-02-20,single_spinning_top,팽이형,단일 캔들 패턴,neutral,65,작은 몸통과 양쪽 꼬리,190000.0,190300.0,188600.0,190100.0,24213880.0,4591033033030.0,005930,삼성전자
2026-02-23,bearish_kicker,하락 키커,추세 반전형,down,80,장대 양봉 뒤 하락 갭 장대 음봉,194400.0,197600.0,190500.0,193000.0,26364684.0,5107749420482.0,005930,삼성전자
