signal_date,ticker,name,condition_id,matched_conditions,foreign_net_buy_streak,foreign_qty,foreign_net_buy_2d_qty,foreign_net_buy_3d_qty,foreign_volume_ratio_pct,event_close,next_trading_day,next_open,next_open_return_pct,next_close,next_close_return_pct,d_plus_5_close,d_plus_5_return_pct,d_plus_10_close,d_plus_10_return_pct,d_plus_20_close,d_plus_20_return_pct,result_label,review_note
2026-07-03,058470,리노공업,foreign_buy_streak_5,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",5,171110,1243515,2634151,15.79,78600,2026-07-06,77400,-1.53,74900,-4.71,,,,,,,보합,"D+1(2026-07-06) 시가 -1.53%, 종가 -4.71%"
2026-07-03,039030,이오테크닉스,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,21147,136724,306300,13.15,392500,2026-07-06,392500,0.00,397500,1.27,,,,,,,상승,"D+1(2026-07-06) 시가 +0.00%, 종가 +1.27%"
2026-07-03,064290,인텍플러스,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,159829,169696,248353,14.88,51800,2026-07-06,51100,-1.35,48250,-6.85,,,,,,,하락 전환,"D+1(2026-07-06) 시가 -1.35%, 종가 -6.85%"
2026-07-03,440110,파두,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,147546,380965,555552,21.67,79600,2026-07-06,79600,0.00,72600,-8.79,,,,,,,하락 전환,"D+1(2026-07-06) 시가 +0.00%, 종가 -8.79%"
2026-07-03,084370,유진테크,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,59650,72584,79902,19.91,171600,2026-07-06,170400,-0.70,157500,-8.22,,,,,,,하락 전환,"D+1(2026-07-06) 시가 -0.70%, 종가 -8.22%"
2026-07-06,000270,기아,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,374982,534548,591142,23.28,160700,2026-07-07,157700,-1.87,153700,-4.36,,,,,,,보합,"D+1(2026-07-07) 시가 -1.87%, 종가 -4.36%"
2026-07-06,042700,한미반도체,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",4,13935,112987,189084,2.24,226500,2026-07-07,221000,-2.43,210500,-7.06,,,,,,,하락 전환,"D+1(2026-07-07) 시가 -2.43%, 종가 -7.06%"
2026-07-06,079550,LIG디펜스앤에어로스페이스,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all",2,463,27599,3384,0.28,815000,2026-07-07,793000,-2.70,799000,-1.96,,,,,,,보합,"D+1(2026-07-07) 시가 -2.70%, 종가 -1.96%"
2026-07-06,006360,GS건설,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all",2,13629,322434,137321,0.37,30600,2026-07-07,29950,-2.12,30900,0.98,,,,,,,상승,"D+1(2026-07-07) 시가 -2.12%, 종가 +0.98%"
2026-07-06,319660,피에스케이,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,100345,142187,125767,21.37,170800,2026-07-07,170900,0.06,161800,-5.27,,,,,,,하락 전환,"D+1(2026-07-07) 시가 +0.06%, 종가 -5.27%"
