hypothesis_id,event_id,ticker,name,quarter,date,direction,chg_pct,trade_amount,trade_amount_eok,amount_tag,flow_category,flow_tags,dart_tag,window_category,window_types,leading_signal,followup,has_usable_followup,needs_external_review,external_review_trigger,market_regime,source_file,dominant_followup,dominant_rate,usable_event_count,company_count,d1_return,d3_return,d5_return,d10_return,action_hint,entry_mode,hold_days,fee_bps,status,skip_reason,side,entry_date,exit_date,entry_price,exit_price,raw_return_pct,score_return_pct
H06,005490_2023_Q4_2023-11-06_up,005490,POSCO홀딩스,2023_Q4,2023-11-06,up,19.17808219178083,1669369109500.0,16693.691095,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,True,B,반도체 반등장,POSCO홀딩스\POSCO홀딩스_2023_Q4_events.jsonl,상승실패,0.65,20,11,-11.02,-11.78,-13.41,-9.58,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2023-11-07,2023-12-05,510000.0,460500.0,-9.705882352941176,9.405882352941175
H06,001440_2023_Q4_2023-12-14_up,001440,대한전선,2023_Q4,2023-12-14,up,3.3633349123638023,57994998060.0,579.9499806,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승실패,True,True,B,반도체 반등장,대한전선\대한전선_2023_Q4_events.jsonl,상승실패,0.65,20,11,-16.57,-21.91,-18.24,,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2023-12-15,2024-01-17,9365.0,8575.0,-8.43566470902296,8.13566470902296
H06,001510_2023_Q4_2023-12-14_up,001510,SK증권,2023_Q4,2023-12-14,up,5.2918287937743225,12806755465.0,128.06755465,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,True,B,반도체 반등장,SK증권\SK증권_2023_Q4_events.jsonl,상승실패,0.65,20,11,-4.43,-5.47,-6.06,,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2023-12-15,2024-01-17,1323.0,1197.0,-9.523809523809524,9.223809523809523
H06,322000_2023_Q4_2023-12-14_up,322000,HD현대에너지솔루션,2023_Q4,2023-12-14,up,17.204301075268823,82962610100.0,829.626101,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승지속,True,True,B,반도체 반등장,HD현대에너지솔루션\HD현대에너지솔루션_2023_Q4_events.jsonl,상승실패,0.65,20,11,-0.55,-2.57,7.89,,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2023-12-15,2024-01-17,28350.0,25400.0,-10.405643738977076,10.105643738977076
H06,001440_2023_Q4_2023-12-20_up,001440,대한전선,2023_Q4,2023-12-20,up,3.0985915492957705,16694586540.0,166.9458654,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승지속,True,True,B,반도체 반등장,대한전선\대한전선_2023_Q4_events.jsonl,상승실패,0.65,20,11,1.55,0.72,4.23,,추격매수 회피 후보,,,,skip,overlap_same_hypothesis_ticker,,,,,,,
H06,322000_2023_Q4_2023-12-20_up,322000,HD현대에너지솔루션,2023_Q4,2023-12-20,up,10.546139359698682,60123006450.0,601.2300645,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,True,B,반도체 반등장,HD현대에너지솔루션\HD현대에너지솔루션_2023_Q4_events.jsonl,상승실패,0.65,20,11,0.17,-4.26,-4.77,,추격매수 회피 후보,,,,skip,overlap_same_hypothesis_ticker,,,,,,,
H03,006360_2024_Q1_2024-02-08_down,006360,GS건설,2024_Q1,2024-02-08,down,-2.119460500963388,7766401760.0,77.6640176,거래대금평균상회,수급엇갈림,외국인기관수급엇갈림|개인매수,주변공시부재,누적배경,누적 배경형,있음,하락후반등,True,False,,AI/전력기기 테마장,GS건설\GS건설_2024_Q1_events.jsonl,하락후반등,0.75,12,10,-0.13,-2.03,3.02,0.72,반등 관찰 후보,next_open,20.0,15.0,ok,,long,2024-02-13,2024-03-13,15220.0,15110.0,-0.7227332457293012,-1.0227332457293012
H03,241520_2024_Q3_2024-09-04_down,241520,DSC인베스트먼트,2024_Q3,2024-09-04,down,-2.601626016260161,447963845.0,4.47963845,거래대금평균상회,수급엇갈림,외국인기관수급엇갈림|개인매도,주변공시부재,누적배경,누적 배경형,있음,하락지속,True,True,B,AI/전력기기 테마장,DSC인베스트먼트\DSC인베스트먼트_2024_Q3_events.jsonl,하락후반등,0.75,12,10,-0.5,-4.84,-8.18,-4.51,반등 관찰 후보,next_open,20.0,15.0,ok,,long,2024-09-05,2024-10-11,3010.0,2880.0,-4.318936877076407,-4.618936877076407
H03,329180_2024_Q4_2024-10-07_down,329180,HD현대중공업,2024_Q4,2024-10-07,down,-3.557951482479782,61865280600.0,618.652806,거래대금평균상회,수급엇갈림,외국인기관수급엇갈림|개인매도,주변공시부재,누적배경,누적 배경형,있음,하락후반등,True,False,,AI/전력기기 테마장,HD현대중공업\HD현대중공업_2024_Q4_events.jsonl,하락후반등,0.75,12,10,0.45,1.9,7.71,8.38,반등 관찰 후보,next_open,20.0,15.0,ok,,long,2024-10-08,2024-11-06,179400.0,181100.0,0.9476031215161607,0.6476031215161606
H03,322000_2024_Q4_2024-12-05_down,322000,HD현대에너지솔루션,2024_Q4,2024-12-05,down,-7.3031026252983295,1860674800.0,18.606748,거래대금평균상회,수급엇갈림,외국인기관수급엇갈림|개인매도,주변공시부재,누적배경,누적 배경형,있음,하락후반등,True,True,B,AI/전력기기 테마장,HD현대에너지솔루션\HD현대에너지솔루션_2024_Q4_events.jsonl,하락후반등,0.75,12,10,3.5,4.79,8.14,8.91,반등 관찰 후보,next_open,20.0,15.0,ok,,long,2024-12-06,2025-08-25,19250.0,43250.0,124.67532467532467,124.37532467532468
