condition_count,condition_key,description,train_n,train_ticker_count,train_avg_return_pct,train_median_return_pct,train_win_rate_pct,train_profit_factor,train_worst_return_pct,validation_n,validation_ticker_count,validation_avg_return_pct,validation_median_return_pct,validation_win_rate_pct,validation_profit_factor,validation_worst_return_pct,train_avg_lift_pct,validation_avg_lift_pct,train_win_rate_lift_pct,validation_win_rate_lift_pct,verdict
2,amount_tag=거래대금급증 & flow_category=외국인기관동반매수,amount_tag=거래대금급증 + flow_category=외국인기관동반매수,16,12,-0.01,-0.35,50.0,0.99,-13.26,13,10,1.51,1.63,61.5,1.32,-24.72,-0.54,0.15,2.8,13.1,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & amount_tag=거래대금약함,market_regime=AI/전력기기 테마장 + amount_tag=거래대금약함,0,0,,,,,,186,34,0.95,-0.33,48.9,1.32,-38.13,,-0.41,,0.5,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & chg_pct<=-3,market_regime=AI/전력기기 테마장 + 당일 하락률 3% 이상,0,0,,,,,,320,34,0.71,-0.45,48.1,1.23,-42.2,,-0.65,,-0.3,DROP_SAMPLE
1,market_regime=AI/전력기기 테마장,market_regime=AI/전력기기 테마장,0,0,,,,,,376,34,0.64,-0.45,47.9,1.21,-42.2,,-0.72,,-0.5,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & dart_tag=DART공시동반,market_regime=AI/전력기기 테마장 + dart_tag=DART공시동반,0,0,,,,,,318,34,0.63,-0.47,46.9,1.21,-42.2,,-0.73,,-1.5,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & window_category=직접반응,market_regime=AI/전력기기 테마장 + window_category=직접반응,0,0,,,,,,350,34,0.4,-0.65,46.3,1.13,-42.2,,-0.96,,-2.1,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & amount_tag=거래대금평균상회,market_regime=AI/전력기기 테마장 + amount_tag=거래대금평균상회,0,0,,,,,,202,34,0.16,-0.1,49.5,1.05,-42.2,,-1.2,,1.1,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & amount_tag=거래대금급증,market_regime=AI/전력기기 테마장 + amount_tag=거래대금급증,0,0,,,,,,69,31,0.12,-0.97,44.9,1.03,-24.72,,-1.24,,-3.5,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & needs_external_review=False,market_regime=AI/전력기기 테마장 + needs_external_review=False,0,0,,,,,,259,34,-0.38,-1.25,39.8,0.88,-33.05,,-1.74,,-8.6,DROP_SAMPLE
2,market_regime=변동성 장세 & flow_category=외국인기관동반매도,market_regime=변동성 장세 + flow_category=외국인기관동반매도,0,0,,,,,,61,23,-0.67,-2.04,34.4,0.79,-21.76,,-2.03,,-14.0,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & flow_category=외국인기관동반매도,market_regime=AI/전력기기 테마장 + flow_category=외국인기관동반매도,0,0,,,,,,129,33,-1.21,-1.8,34.9,0.65,-31.74,,-2.57,,-13.5,DROP_SAMPLE
2,market_regime=변동성 장세 & window_category=설명부족,market_regime=변동성 장세 + window_category=설명부족,0,0,,,,,,1,1,-1.57,-1.57,0.0,0.0,-1.57,,-2.93,,-48.4,DROP_SAMPLE
2,window_category=누적배경 & chg_pct<=-10,window_category=누적배경 + 당일 하락률 10% 이상,1,1,13.2,13.2,100.0,99.9,13.2,1,1,-5.57,-5.57,0.0,0.0,-5.57,12.67,-6.93,52.8,-48.4,DROP_SAMPLE
